車両ID-01,車両ID-02,車両ID-03,車両ID-04,車両ID-05,車両ID-06,車両ID-07,車両ID-08,車両ID-09,車両ID-10,車両ID-11,車両ID-12,車両ID-13,車両ID-14,日付,スタンプ,記述
khe120-1,khe120-2,khe120-3,khe120-4,khe120-5,khe120-6,khe120-7,khe120-8,,,,,,,2008/05/27,kosyu,新津まで甲種輸送。DE10-1701が牽引。新津運輸区に配置。
209-0011,209-0012,209-0013,209-0014,209-0017,209-0018,209-0020,,,,,,,,2008/07/01,tenkai,NNにてMUE-Trainに改造。川越車両センターに配置。
209-0015,209-0016,209-0019,,,,,,,,,,,,2008/07/01,haisya,NNにて廃車。
e231-5012,e231-5013,e231-5014,e231-5015,e231-5016,e231-5017,e231-5018,e231-5019,e231-5020,e231-5021,e231-5022,,,,2009/09/07,toso,旧型国電風ラッピング明治製菓コラボ塗装。
205-0064,205-0068,205-0069,205-0067,,,,,,,,,,,2009/10/20,sosei,KYにて転用改造、組成。
e231-5012,e231-5013,e231-5014,e231-5015,e231-5016,e231-5017,e231-5018,e231-5019,e231-5020,e231-5021,e231-5022,,,,2009/12/04,toso,ラッピング終了。
209-0011,209-0012,209-0013,209-0017,209-0018,209-0020,,,,,,,,,2009/12/14,nyujo,東急車輛製造に入場
209-0011,209-0012,209-0013,209-0017,209-0018,209-0020,,,,,,,,,2010/09/16,kumikae,第2期走行試験のため、6両編成に組成。
209-0014,,,,,,,,,,,,,,2010/10/25,haisya,第1期走行試験終了に伴い、NNにて廃車。
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
e331-01,e331-02,e331-03,e331-04,e331-05,e331-06,e331-07,e331-08,e331-09,e331-10,e331-11,e331-12,e331-13,e331-14,2011/01/16,other,以降営業運転に復帰せず。
205-0855,205-0255,205-0256,205-0858,,,,,,,,,,,2011/03/12,haisya,野蒜〜東名間にて東日本大震災の津波により被災。現地解体。
e721-01,e721-02,e721-37,e721-38,,,,,,,,,,,2011/03/12,haisya,新地駅にて東日本大震災の津波により被災。現地解体。
e657-001,e657-002,e657-003,e657-004,e657-005,e657-006,e657-007,e657-008,e657-009,e657-010,,,,,2011/05/23,sosei,
e657-011,e657-012,e657-013,e657-014,e657-015,e657-016,e657-017,e657-018,e657-019,e657-020,,,,,2011/10/13,sosei,
205-0214,205-0235,205-0236,205-0217,,,,,,,,,,,2012/09/05-07,haikyu,石巻駅にて東日本大震災による津波で冠水したことにより、J-TREC横浜に入場。小牛田まではDE10-1651、黒磯まではED75-758、逗子まではEF65-1118が牽引を担当。
e231-5485,e231-5486,e231-5487,e231-5488,e231-5489,e231-5490,e231-6045,e231-5492,e231-5493,e231-4645,e231-5495,,,,2013/01/26,toso,みどりの山手線ラッピング
e653-01,e653-02,e653-03,e653-04,e653-05,e653-06,e653-07,,,,,,,,2013/02/28,nyujo,新潟へ転用のためKYに入場
e653-08,e653-09,e653-10,e653-11,e653-12,e653-13,e653-14,,,,,,,,2013/06/04,nyujo,新潟へ転用のためKYに入場
